work_id,completion_date,disbursed_amount,has_evidence,raw_evidence_status
WS/MP761/2024-2025/144944-Construction of community centers and community halls,08-Oct-2024,400000.0,False,nan
WS/MP761/2024-2025/144988-Construction of common work sheds/ common covered sitting area,08-Oct-2024,399808.0,False,nan
WS/MP761/2024-2025/145003-Construction of boundary walls of existing public and community buildings,08-Oct-2024,492446.0,False,nan
WS/MP761/2024-2025/144957-Construction of community centers and community halls,08-Oct-2024,369825.0,False,nan
WS/MP761/2024-2025/144956-Construction of community centers and community halls,08-Oct-2024,486885.0,False,nan
"WS/MP761/2024-2025/144941-Construction of roads, link roads, pathways or any other road with or without drainage system",08-Oct-2024,400000.0,False,nan
"WS/MP393/2024-2025/144136-Construction of roads, link roads, pathways or any other road with or without drainage system",08-Oct-2024,199674.0,True,Images
"WS/MP761/2024-2025/144989-Construction of roads, link roads, pathways or any other road with or without drainage system",08-Oct-2024,400000.0,False,nan
WS/MP393/2024-2025/145379-Construction of community centers and community halls,08-Oct-2024,299787.0,True,Images
WS/MP017/2024-2025/143499-Construction of veterinary hospitals and dispensaries,09-Oct-2024,996610.0,True,Images
WS/MP761/2024-2025/146272-Construction of boundary walls of existing public and community buildings,09-Oct-2024,400000.0,False,nan
"WS/MP761/2024-2025/144958-Construction of roads, link roads, pathways or any other road with or without drainage system",09-Oct-2024,300000.0,False,nan
WS/MP761/2024-2025/144994-Construction of boundary walls of existing public and community buildings,09-Oct-2024,400000.0,False,nan
WS/MP761/2024-2025/144938-Construction of community centers and community halls,09-Oct-2024,399115.0,False,nan
WS/MP761/2024-2025/144960-Construction of community centers and community halls,09-Oct-2024,491636.0,False,nan
"WS/MP494/2024-2025/137152-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,1978059.0,True,Images
"WS/MP494/2024-2025/137031-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,551677.0,True,Images
"WS/MP494/2024-2025/137032-Construction of roads, link roads, pathways or any other road with or without drainage system",15-Dec-2025,152925.0,True,Images
"WS/MP494/2024-2025/137153-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,2247147.0,True,Images
"WS/MP494/2024-2025/137154-Construction of roads, link roads, pathways or any other road with or without drainage system",21-Jan-2026,1504362.0,True,Images
"WS/MP494/2024-2025/137151-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,1991220.0,True,Images
"WS/MP494/2024-2025/137029-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,513114.0,True,Images
"WS/MP494/2024-2025/137030-Construction of roads, link roads, pathways or any other road with or without drainage system",21-Jan-2026,629490.0,True,Images
WS/MP761/2024-2025/145001-Construction of buildings for community cultural activities,10-Oct-2024,400000.0,False,nan
WS/MP761/2024-2025/144962-Construction of community centers and community halls,10-Oct-2024,450000.0,False,nan
WS/MP18182/2024-2025/134223-Construction of boundary walls of existing public and community buildings,10-Oct-2024,2493302.0,True,Images
WS/MP18182/2024-2025/134225-Construction of boundary walls of existing public and community buildings,10-Oct-2024,2482079.0,True,Images
WS/MP393/2024-2025/144442-Installing community drinking water plants,10-Oct-2024,350000.0,True,Images
"WS/MP494/2024-2025/137155-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,2613400.0,True,Images
"WS/MP494/2024-2025/137156-Construction of roads, link roads, pathways or any other road with or without drainage system",04-Jun-2025,968370.0,True,Images
"WS/MP494/2024-2025/137205-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,1157238.0,True,Images
"WS/MP494/2024-2025/137197-Construction of roads, link roads, pathways or any other road with or without drainage system",01-Jul-2025,1601792.0,True,Images
"WS/MP494/2024-2025/137198-Construction of roads, link roads, pathways or any other road with or without drainage system",04-Jun-2025,445492.0,True,Images
"WS/MP494/2024-2025/137199-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,1119362.0,True,Images
"WS/MP494/2024-2025/137202-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,1269794.0,True,Images
"WS/MP494/2024-2025/137203-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,2391853.0,True,Images
"WS/MP494/2024-2025/137206-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,1287979.0,True,Images
"WS/MP494/2024-2025/137207-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,554942.0,True,Images
"WS/MP494/2024-2025/137208-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,2076979.0,True,Images
"WS/MP494/2024-2025/137200-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,2163229.0,True,Images
"WS/MP18391/2024-2025/140271-Purchase of ambulances (Four, three and two wheelers)",02-Dec-2024,16912380.0,True,Images
WS/MP517/2024-2025/137541-Lighting of public spaces,12-Mar-2025,2242634.0,True,Images
WS/MP517/2024-2025/137540-Lighting of public spaces,12-Mar-2025,3489567.0,True,Images
WS/MP517/2024-2025/137539-Lighting of public spaces,12-Mar-2025,2740998.0,True,Images
WS/MP517/2024-2025/137542-Lighting of public spaces,12-Mar-2025,1744271.0,True,Images
"WS/MP494/2024-2025/137209-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,1477295.0,True,Images
"WS/MP494/2024-2025/137210-Construction of roads, link roads, pathways or any other road with or without drainage system",15-Dec-2025,1210287.0,True,Images
"WS/MP494/2024-2025/137211-Construction of roads, link roads, pathways or any other road with or without drainage system",15-Dec-2025,951668.0,True,Images
"WS/MP494/2024-2025/137212-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,2004148.0,True,Images
"WS/MP494/2024-2025/137213-Construction of roads, link roads, pathways or any other road with or without drainage system",25-Apr-2025,1199684.0,True,Images
