constituency_id,name,state,mp_id
C_MADHYA_GUNA,GUNA,Madhya Pradesh,MP_D6777099
C_KERALA_IDUKKI,IDUKKI,Kerala,MP_F5272C3C
C_CHHATT_RAJNANDGAON,RAJNANDGAON,Chhattisgarh,MP_610BA45E
C_MAHARA_AKOLA,AKOLA,Maharashtra,MP_D43009CB
C_ANDHRA_NARASARAOPET,NARASARAOPET,Andhra Pradesh,MP_4206D364
C_MAHARA_LATUR_SC,LATUR(SC),Maharashtra,MP_785005BD
C_TELANG_MALKAJGIRI,MALKAJGIRI,Telangana,MP_13EBE9D8
C_UTTAR__RAMPUR,RAMPUR,Uttar Pradesh,MP_AA289843
C_ANDHRA_KURNOOL,KURNOOL,Andhra Pradesh,MP_F63D4AD5
C_WEST_B_MURSHIDABAD,MURSHIDABAD,West Bengal,MP_F68D800C
C_UTTAR__BIJNOR,BIJNOR,Uttar Pradesh,MP_4D351AF8
C_WEST_B_BARRACKPUR,BARRACKPUR,West Bengal,MP_75354D1B
C_BIHAR_VAISHALI,VAISHALI,Bihar,MP_38F40F2A
C_GUJARA_KHEDA,KHEDA,Gujarat,MP_2CFF2EE6
C_GUJARA_VADODARA,VADODARA,Gujarat,MP_308A5E12
C_WEST_B_BANKURA,BANKURA,West Bengal,MP_1645D336
C_MAHARA_MUMBAI_NORTH_WES,MUMBAI NORTH WEST,Maharashtra,MP_7BC142AE
C_RAJAST_JHUNJHUNU,JHUNJHUNU,Rajasthan,MP_A3627B47
C_WEST_B_DUM_DUM,DUM DUM,West Bengal,MP_7D3569A5
C_RAJAST_BIKANER_SC,BIKANER(SC),Rajasthan,MP_D93012DD
C_UTTAR__SITAPUR,SITAPUR,Uttar Pradesh,MP_8601B770
C_RAJAST_SIKAR,SIKAR,Rajasthan,MP_D9DD9416
C_BIHAR_MADHUBANI,MADHUBANI,Bihar,MP_18AE5732
C_HIMACH_SHIMLA__SC,SHIMLA (SC),Himachal Pradesh,MP_B59BEB3E
C_CHHATT_BASTAR_ST,BASTAR(ST),Chhattisgarh,MP_58EAA2F6
C_WEST_B_KOLKATA_DAKSHIN,KOLKATA DAKSHIN,West Bengal,MP_A9CFC490
C_UTTAR__SULTANPUR,SULTANPUR,Uttar Pradesh,MP_1A0B2102
C_JHARKH_RANCHI,RANCHI,Jharkhand,MP_87D2142C
C_WEST_B_SREERAMPUR,SREERAMPUR,West Bengal,MP_248E3135
C_MADHYA_BETUL_ST,BETUL(ST),Madhya Pradesh,MP_CFD83F0C
C_BIHAR_KISHANGANJ,KISHANGANJ,Bihar,MP_DFD399D6
C_DELHI_EAST_DELHI,EAST DELHI,Delhi,MP_F5B4A4BE
C_UTTAR__GHAZIPUR,GHAZIPUR,Uttar Pradesh,MP_DCA89489
C_UTTAR__AMETHI,AMETHI,Uttar Pradesh,MP_0608F13D
C_MAHARA_MUMBAI_SOUTH,MUMBAI SOUTH,Maharashtra,MP_C28F64CA
C_PUDUCH_PUDUCHERRY,PUDUCHERRY,Puducherry,MP_7F56345D
C_MADHYA_UJJAIN_SC,UJJAIN(SC),Madhya Pradesh,MP_2F4DB944
C_TAMIL__CHENNAI_CENTRAL,CHENNAI CENTRAL,Tamil Nadu,MP_539F6E50
C_GUJARA_ANAND,ANAND,Gujarat,MP_1BD265B5
C_UTTAR__AMROHA,AMROHA,Uttar Pradesh,MP_3C2310E6
C_TAMIL__ERODE,ERODE,Tamil Nadu,MP_12FB635D
C_MAHARA_JALGAON,JALGAON,Maharashtra,MP_41C48690
C_TAMIL__MADURAI,MADURAI,Tamil Nadu,MP_600F56EC
C_DELHI_NORTH_EAST_DELHI,NORTH EAST DELHI,Delhi,MP_C93D7C12
C_UTTAR__DHAURAHRA,DHAURAHRA,Uttar Pradesh,MP_22AC88F1
C_MADHYA_SIDHI,SIDHI,Madhya Pradesh,MP_406FE2DD
C_ANDHRA_RAJAMPET,RAJAMPET,Andhra Pradesh,MP_A2D12254
C_RAJAST_BHILWARA,BHILWARA,Rajasthan,MP_E4370D95
C_KERALA_CHALAKUDY,CHALAKUDY,Kerala,MP_651D5311
C_PUNJAB_AMRITSAR,AMRITSAR,Punjab,MP_0F5235E9
C_UTTAR__MOHANLALGANJ_SC,MOHANLALGANJ(SC),Uttar Pradesh,MP_3B31B6CC
C_MAHARA_CHANDRAPUR,CHANDRAPUR,Maharashtra,MP_9F90882C
C_UTTAR__HATHRAS__SC,HATHRAS (SC),Uttar Pradesh,MP_7AA0C063
C_JAMMU__UDHAMPUR,UDHAMPUR,Jammu And Kashmir,MP_7A20A8C8
C_ASSAM_JORHAT,JORHAT,Assam,MP_E5A6BA59
C_UTTAR__LALGANJ__SC,LALGANJ (SC),Uttar Pradesh,MP_910D0E2C
C_UTTAR__BALLIA,BALLIA,Uttar Pradesh,MP_F2C91A52
C_KARNAT_BIDAR,BIDAR,Karnataka,MP_2221842E
C_TELANG_BHONGIR,BHONGIR,Telangana,MP_6FE3D473
