transaction_id,canonical_work_id,official_work_id,parliament,source_dataset,source_row_id,vendor_name,ida_agency,work_status,transaction_amount,transaction_date,state,constituency,mp_name
TX_RA_001274,CW_RA_EXP_001274,WS/MP106/2025-2026/230397,rajya_sabha,expenditure,1273,Ansh Traders Ragadgaon,BETUL(DISTRICT COLLECTOR BETUL_IDA),Payment Success,56000.0,,Madhya Pradesh,,Vivek K. Tankha (2022-28) (2022-2028)
TX_RA_001275,CW_RA_EXP_001275,WS/MP106/2025-2026/230397,rajya_sabha,expenditure,1274,Ansh Traders Ragadgaon,BETUL(DISTRICT COLLECTOR BETUL_IDA),Payment Success,55000.0,,Madhya Pradesh,,Vivek K. Tankha (2022-28) (2022-2028)
TX_RA_001276,CW_RA_EXP_001276,WS/MP106/2025-2026/230397,rajya_sabha,expenditure,1275,Rudra Construction Gehubarasa,BETUL(DISTRICT COLLECTOR BETUL_IDA),Payment Success,93000.0,,Madhya Pradesh,,Vivek K. Tankha (2022-28) (2022-2028)
TX_RA_001277,CW_RA_EXP_001277,WS/MP18288/2025-2026/255570,rajya_sabha,expenditure,1276,Gram Panchayat Bahi,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),Payment Success,300000.0,,Gujarat,,Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)
TX_RA_001278,CW_RA_EXP_001278,WS/MP18316/2026-2027/265019,rajya_sabha,expenditure,1277,Sachchidanand Memorial Public School Sainkheda,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Payment Success,1200000.0,,Madhya Pradesh,,Maya Naroliya (2024-30) (2024-2030)
TX_RA_001279,CW_RA_EXP_001279,WS/MP846/2026-2027/278170,rajya_sabha,expenditure,1278,Jaggaiahgari Shekhar,SIDDIPET(District Collector Siddipet_IDA),Payment Success,499892.0,,Telangana,,Damodar Rao Divakonda (2022-28) (2022-2028)
TX_RA_001280,CW_RA_EXP_001280,WS/MP846/2026-2027/278169,rajya_sabha,expenditure,1279,Jaggaiahgari Shekhar,SIDDIPET(District Collector Siddipet_IDA),Payment Success,499872.0,,Telangana,,Damodar Rao Divakonda (2022-28) (2022-2028)
TX_RA_001281,CW_RA_EXP_001281,WS/MP18407/2025-2026/238162,rajya_sabha,expenditure,1280,Jitendra Kumar Kushwaha,GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA),Payment Success,1446499.0,,Bihar,,Manan Kumar Mishra (2024-28) (2024-2028)
TX_RA_001282,CW_RA_EXP_001282,WS/MP18333/2026-2027/254372,rajya_sabha,expenditure,1281,Banarshi Devi,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Payment Success,3528.0,,Uttarakhand,,Mahendra Bhatt (2024-30) (2024-2030)
TX_RA_001283,CW_RA_EXP_001283,WS/MP18288/2025-2026/237206,rajya_sabha,expenditure,1282,Sarpanch Gram Panchayat Jodka,PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA),Payment Success,300000.0,,Gujarat,,Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)
TX_RA_001284,CW_RA_EXP_001284,WS/MP878/2025-2026/243240,rajya_sabha,expenditure,1283,Garima Sales Corporation,SOUTH(COMMISSIONER SOUTH),Payment Success,919373.0,,Delhi,,Sanjay Singh (2024-30) (2024-2030)
