source_house,source_file,source_row_number,sr_no,state,work,work_id,ida,honble_members_of_parliament,elected/nominated,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_₹
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11426,11425,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP138/2024-2025/170345,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),Smt. Sulata Deo (2022-28) (2022-2028),Elected MP,2025-03-22,Hemanta Kumar Behera,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11427,11426,Gujarat,Construction of community centers and community halls,WS/MP18288/2025-2026/232601,Mahisagar(COLLECTOR MAHISAGAR_IDA),Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),Elected MP,2026-06-22,GROUP GRAMGRAMPANCHAYAT VIRANIYA,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11428,11427,Gujarat,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",WS/MP889/2025-2026/149379,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029),Elected MP,2025-08-20,VIRUNA GRAM PANCHAYAT,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11429,11428,Gujarat,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",WS/MP889/2025-2026/147853,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029),Elected MP,2025-08-29,VIRUNA GRAM PANCHAYAT,Payment Success,500000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11430,11429,Punjab,Construction of community centers and community halls,WS/MP141/2025-2026/261058,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,2026-04-16,Ms S and S Building Material LLP Dasuya,Payment Success,27997.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11431,11430,Punjab,Construction of community centers and community halls,WS/MP141/2025-2026/261058,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,2026-04-16,Ms S and S Building Material LLP Dasuya,Payment Success,36000.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11432,11431,Punjab,Construction of community centers and community halls,WS/MP141/2025-2026/261058,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,2026-04-16,Ms S and S Building Material LLP Dasuya,Payment Success,48125.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11433,11432,Punjab,Construction of community centers and community halls,WS/MP141/2025-2026/261058,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,2026-04-16,Ms S and S Building Material LLP Dasuya,Payment Success,17325.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11434,11433,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP171/2024-2025/145105,NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA),Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030),Elected MP,2025-01-29,CHEEMARLA MANOHAR REDDY,Payment Success,496159.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11435,11434,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP106/2025-2026/192666,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,2026-08-22,Rahul Traders,Payment Success,40500.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11436,11435,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP106/2025-2026/192666,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,2026-01-15,Tiwari Traders,Payment Success,84852.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11437,11436,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP106/2025-2026/192666,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,2026-01-15,Tiwari Traders,Payment Success,68002.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11438,11437,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP106/2025-2026/192666,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,2026-01-15,Tiwari Traders,Payment Success,64574.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11439,11438,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP106/2025-2026/192666,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,2026-01-15,Tiwari Traders,Payment Success,86624.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11440,11439,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP106/2025-2026/192666,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,2026-01-15,Tiwari Traders,Payment Success,90270.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11441,11440,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP106/2025-2026/192666,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,2026-01-15,Tiwari Traders,Payment Success,91350.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11442,11441,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP106/2025-2026/192666,SAGAR(DISTRICT COLLECTOR SAGAR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,2026-01-15,Tiwari Traders,Payment Success,70350.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11443,11442,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18290/2024-2025/141355,DHULE(DISTRICT COLLECTOR DHULE_IDA),Shri Chandrakant Damodar Handore (2024-30) (2024-2030),Elected MP,2025-03-10,Sarpanch Grampanchayat Shewali DA,Payment Success,1499356.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11444,11443,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18290/2024-2025/141356,DHULE(DISTRICT COLLECTOR DHULE_IDA),Shri Chandrakant Damodar Handore (2024-30) (2024-2030),Elected MP,2025-03-10,Sarpanch Grampanchayat Shewali DA,Payment Success,1495941.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11445,11444,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP116/2025-2026/189848,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Shri Sanjay Raut (2022-28) (2022-2028),Elected MP,2026-03-20,Sanjivani Construction Co,Payment Success,2498104.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11446,11445,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP116/2025-2026/174215,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Shri Sanjay Raut (2022-28) (2022-2028),Elected MP,2026-01-21,Kamal Enterprises,Payment Success,2498103.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11447,11446,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP116/2025-2026/174218,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Shri Sanjay Raut (2022-28) (2022-2028),Elected MP,2026-01-21,Kamal Enterprises,Payment Success,2797875.0
RAJYA_SABHA,Expenditure on Completed and On-going Works as on Date (2).csv,11448,11447,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP116/2025-2026/189828,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Shri Sanjay Raut (2022-28) (2022-2028),Elected MP,2026-03-20,Kamal Enterprises,Payment Success,2498104.0
